"gene_name","sigma_b_sq_stationary","sigma_eps_sq_stationary","range_stationary","prop_spatial_stationary","log_ml_stationary","sigma_b_sq_nonstationary","sigma_eps_sq_nonstationary","range_nonstationary","prop_spatial_nonstationary","log_ml_nonstationary","log_bayes_factor","bayes_factor","bf_interpretation","dataset_name","dataset_file","n_spots","n_genes_total"
"SLC9A8",0.000293377214136817,0.12358482196413,50.2489336172574,0.00236827154481503,-1611.37424130927,3.2265278404082e-05,0.123592183147452,149.191782355106,0.000260994316374508,-1614.90202752906,-3.52778621978973,0.0293698623719702,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SPATA2",3.89264975840137e-05,0.175703426368558,2057.41900844005,0.000221497532889313,-2359.31526677614,0.00109993792383684,0.174562864747771,169.080363569052,0.00626164394002708,-2365.51121502005,-6.19594824391379,0.00203767007505391,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"RNF114",0.0159626805350795,0.421646027418849,473.006782374613,0.0364770632872325,-4242.52028248564,0.00684181485310861,0.422472483155052,713.539723810581,0.0159366107414819,-4248.28033065668,-5.76004817103785,0.00315095980978429,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"UBE2V1",0.0109693756387697,0.649060533688833,1097.21652490246,0.0166195129701692,-5155.11976491988,0.0159032736822477,0.647438686895836,206.454734539378,0.0239744726360872,-5161.77713493842,-6.65737001854268,0.00128452019618741,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"TMEM189",0.00414053527226929,0.384029033977947,580.720255056647,0.0106668208954842,-4027.92755137374,0.00088952570351656,0.384532489993026,722.973915693188,0.00230792655139066,-4033.57408574181,-5.64653436806839,0.00352972834154252,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"LINC01275",0.00270580211391146,0.120093825470196,200.66980611816,0.0220342859920988,-1559.51488809073,3.05704896132208e-06,0.120477725007343,257.933882763912,2.53737476562314e-05,-1561.69382538578,-2.17893729504067,0.113161724289554,"Moderate for stationary","HumanHeart","HumanHeart.rds",4247,36601
"LINC01273",0.000218175114246858,0.14541894821945,646.723063866625,0.00149807349426256,-1958.02577613684,0.00027530411450134,0.145121520328561,650.314783491659,0.00189346717547568,-1964.18839085465,-6.16261471781149,0.00210673753966464,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CEBPB",0.0243670237518727,0.576803872869959,981.952847596754,0.0405326070985783,-4925.68755125852,0.025003826944247,0.576506326228773,896.274150791721,0.0415684204370443,-4933.04187480684,-7.35432354832483,0.000639820078598006,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SMIM25",0.000534350210037895,0.0579102485456706,30.3119263478341,0.00914285017630826,-2.66792035244676,3.9247003926688e-06,0.0593316499280866,112.313679034373,6.61441372607027e-05,-8.11820913687734,-5.45028878443058,0.00429506416397964,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PTPN1",0.000285634868226485,0.243852200638394,174.479721858386,0.00116997378810111,-3053.20684094544,0.000900608426044856,0.242595117491144,26.2302833975434,0.00369866215372974,-3057.56214592539,-4.35530497995205,0.0128385234947647,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
